ipo_firm,assignee_firm,assignee_id,ticker,is_common,patent_cnt,assignee_id
ACE Ltd,"Ace Mechanical Technologies, Inc.",org_WSbC8UHJFNoSnQJ42VvO,ACE,1,1,org_WSbC8UHJFNoSnQJ42VvO
ACE Ltd,"Ace Medical Co., Ltd.",org_8r7lHteSIDwJPvokMpFa,ACE,1,5,org_8r7lHteSIDwJPvokMpFa
ACE Ltd,Ace Medical Company,org_9e7dgl92AwuVehEBvDlL,ACE,1,11,org_9e7dgl92AwuVehEBvDlL
ACE Ltd,"Ace Medical Technology Co., Ltd.",org_aKXfR8aGOplrCxiyHiUK,ACE,1,1,org_aKXfR8aGOplrCxiyHiUK
ACE Ltd,"Ace Memory, Inc.",org_a3zdPiTf5pWtHmemSa2j,ACE,1,2,org_a3zdPiTf5pWtHmemSa2j
ACE Ltd,"ACE METRIX, INC.",org_LRJ2jjEsbXeuS2ChWD7Q,ACE,1,2,org_LRJ2jjEsbXeuS2ChWD7Q
ACE Ltd,"Ace Mold Company, Ltd.",org_lJiz2jg9dIcwaEeFlpWG,ACE,1,1,org_lJiz2jg9dIcwaEeFlpWG
ACE Ltd,Ace Motorcycle Corporation,org_Ws8XdxZKStRddfEUGUxK,ACE,1,1,org_Ws8XdxZKStRddfEUGUxK
ACE Ltd,"Ace Novelty Co., Inc.",org_7pmWJWWin5IorxbP7GCo,ACE,1,6,org_7pmWJWWin5IorxbP7GCo
ACE Ltd,"ACE Oil Sands, L.P.",org_rZ9DwzpCIAT2D2fZUnq9,ACE,1,2,org_rZ9DwzpCIAT2D2fZUnq9
ACE Ltd,Ace Oil Tools AS,org_h2qBjLWCQc2Q4S6Q3Bbj,ACE,1,1,org_h2qBjLWCQc2Q4S6Q3Bbj
ACE Ltd,"Ace Optical Co., Ltd.",org_O4acq4XZ05IZIbYC6MWa,ACE,1,1,org_O4acq4XZ05IZIbYC6MWa
ACE Ltd,"Ace Orthopedic Manufacturing, Inc.",org_ZIb6KCHaNFwfsxWr7AbQ,ACE,1,12,org_ZIb6KCHaNFwfsxWr7AbQ
ACE Ltd,"Ace Package Co., Ltd.",org_dtadNTofAtKHgOE2ZPv1,ACE,1,1,org_dtadNTofAtKHgOE2ZPv1
ACE Ltd,"Ace Packaging Systems, Inc.",org_1XkPS9f23nNHrK7Jo1cy,ACE,1,5,org_1XkPS9f23nNHrK7Jo1cy
ACE Ltd,Ace Paper Products Co.,org_fZcdgYNgbct6biYf6jYi,ACE,1,1,org_fZcdgYNgbct6biYf6jYi
ACE Ltd,Ace Pest & Termite Control Co.,org_0tVGdRGM3XlVvSY5r0dw,ACE,1,1,org_0tVGdRGM3XlVvSY5r0dw
ACE Ltd,ACE Plastics Company Ltd.,org_GXjk8CAmNkeB8RBqbynQ,ACE,1,3,org_GXjk8CAmNkeB8RBqbynQ
ACE Ltd,"Ace Polymers, Inc.",org_V15cFnKWpFraVKSt6umR,ACE,1,2,org_V15cFnKWpFraVKSt6umR
ACE Ltd,"Ace Power International, Inc.",org_qONDptMAM7aVXEy1e2sJ,ACE,1,3,org_qONDptMAM7aVXEy1e2sJ
ACE Ltd,"Ace Premium Co., Ltd.",org_XYTryDFYVMLa8KPPc6Nu,ACE,1,2,org_XYTryDFYVMLa8KPPc6Nu
ACE Ltd,"Ace Product Management Group, Inc.",org_YvbSLRIai88y0rusWm6B,ACE,1,1,org_YvbSLRIai88y0rusWm6B
ACE Ltd,"Ace Rug Cleaners, Inc.",org_5gdLuMs94RxbQ0XbTw3k,ACE,1,1,org_5gdLuMs94RxbQ0XbTw3k
ACE Ltd,"ACE Safety Gear, LLC",org_aepCqQ5sQsjC3q9iTWn5,ACE,1,1,org_aepCqQ5sQsjC3q9iTWn5
ACE Ltd,Ace Service Incorporated,org_gohE4FAUQrBXtgbeEsLR,ACE,1,1,org_gohE4FAUQrBXtgbeEsLR
ACE Ltd,"ACE SOLUTECH CO., LTD.",org_eXMqYBYO1EdMCGg2msef,ACE,1,2,org_eXMqYBYO1EdMCGg2msef
ACE Ltd,"Ace Sophisticates, Inc.",org_ro7AJ2vk72qG1TBwAJUy,ACE,1,1,org_ro7AJ2vk72qG1TBwAJUy
ACE Ltd,"Ace Speciality Manufacturing, Inc.",org_rUCF1qdcxsWSE5ItdtaR,ACE,1,1,org_rUCF1qdcxsWSE5ItdtaR
ACE Ltd,"Ace Specialty, Inc.",org_3T2dqNY2HKMqU35cfV7S,ACE,1,14,org_3T2dqNY2HKMqU35cfV7S
ACE Ltd,ACE StoBdampfer GmbH,org_9kTOFJwJJaJETREphm8W,ACE,1,1,org_9kTOFJwJJaJETREphm8W
ACE Ltd,ACE Surgeon Training LLC,org_LRIC5MYRLOKAZ7JMnGUk,ACE,1,1,org_LRIC5MYRLOKAZ7JMnGUk
ACE Ltd,"ACE Surgical Supply Co., Inc.",org_AYd2j449TV0XBRlbdICh,ACE,1,10,org_AYd2j449TV0XBRlbdICh
ACE Ltd,Ace Tank & Equipment Company,org_cjWyTTiF0UtUYwmQKnz1,ACE,1,2,org_cjWyTTiF0UtUYwmQKnz1
ACE Ltd,Ace Technologies Corporation,org_OXqcTBFV1HPticDYxuoJ,ACE,1,64,org_OXqcTBFV1HPticDYxuoJ
ACE Ltd,Ace Technology Corporation,org_khsMSFNwuKFKuHXKFGzg,ACE,1,1,org_khsMSFNwuKFKuHXKFGzg
ACE Ltd,Ace Termite & Pest Control,org_VHMBitYjBqgUrrvff8U4,ACE,1,1,org_VHMBitYjBqgUrrvff8U4
ACE Ltd,"Ace Tire & Parts, Inc.",org_iHtN6rgD6RvbwzhCmWII,ACE,1,2,org_iHtN6rgD6RvbwzhCmWII
ACE Ltd,"Ace Trainer, Inc.",org_hY6acQxMFWRm23OXm1VW,ACE,1,1,org_hY6acQxMFWRm23OXm1VW
ACE Ltd,"Ace Venture, Inc.",org_uyY01ZRJsq11k2ipU72F,ACE,1,1,org_uyY01ZRJsq11k2ipU72F
ACE Ltd,"Ace Ventures, Inc.",org_rmmhzXNE6Y39Of3DeCiQ,ACE,1,1,org_rmmhzXNE6Y39Of3DeCiQ
ACE Ltd,"ACE WORLD COMPANIES, LTD.",org_WniNwni1u4ctuniH7hMk,ACE,1,1,org_WniNwni1u4ctuniH7hMk
ACE Ltd,"ACE-Able Engineering Co., Inc.",org_MxHTZk9Cz3GEIO18Ip1V,ACE,1,1,org_MxHTZk9Cz3GEIO18Ip1V
ACE Ltd,"Ace-Five Co., Ltd.",org_l20J0EQP8I0E7Ry3gNka,ACE,1,1,org_l20J0EQP8I0E7Ry3gNka
ACE Ltd,"ACE-HINGE TECH CO., LTD.",org_WJ3tzqI5dC0hm9QUNhc3,ACE,1,3,org_WJ3tzqI5dC0hm9QUNhc3
ACE Ltd,"Ace-Mechatronics Co., Ltd.",org_JII04lE6jWNSI8yeHZjf,ACE,1,1,org_JII04lE6jWNSI8yeHZjf
ACE Ltd,"Ace-Tronics Company, Inc.",org_1cj6d6V9a4nEnDEBbnSV,ACE,1,2,org_1cj6d6V9a4nEnDEBbnSV
ACE Ltd,"Ace/Avant Concrete Construction Co., Inc.",org_yZdXAKInKiMz2QUj87ez,ACE,1,2,org_yZdXAKInKiMz2QUj87ez
AcelRx Pharmaceuticals Inc,"AcelRx Pharmaceuticals, Inc.",org_GEksUZj9zAyZrF5yecK4,ACRX,0,24,org_GEksUZj9zAyZrF5yecK4
Achaogen Inc,"Achaogen, Inc.",org_yAOJDGrWg3s2zStgFZJY,AKAO,0,21,org_yAOJDGrWg3s2zStgFZJY
Achillion Pharmaceuticals Inc,"Achillion Pharmaceuticals, Inc.",org_YSUQe0hMWKgqL7PmkOxr,ACHN,0,73,org_YSUQe0hMWKgqL7PmkOxr
Aclara Biosciences Inc,"ACLARA Biosciences, Inc.",org_ZloNgSZs5hSZX5qjvL5u,ACLA,0,59,org_ZloNgSZs5hSZX5qjvL5u
Aclaris Therapeutics Inc,"ACLARIS THERAPEUTICS, INC.",org_RT47dMhInvtLByo2B8zV,ACRS,0,7,org_RT47dMhInvtLByo2B8zV
Acme Packet Inc,"Acme Packet, Inc.",org_FWyqzbTxFH2BSEsrcvlU,APKT,0,29,org_FWyqzbTxFH2BSEsrcvlU
Acorda Therapeutics Inc,"Acorda Therapeutics, Inc.",org_ttb8HZvbe888u04A3zHg,ACOR,0,82,org_ttb8HZvbe888u04A3zHg
Acorn Products Inc,"Acorn Products, LLC",org_Rzklco0xOWoL7utYt6Sb,ACRN,1,8,org_Rzklco0xOWoL7utYt6Sb
Acres Gaming,Acres Gaming Incorporated,org_v0EiyfshTiom1oFI4eYQ,AGAM,1,46,org_v0EiyfshTiom1oFI4eYQ
ACSYS Inc,ACSYS HOLDINGS LIMITED,org_U1BpdnTYhQPlMAH3OQbo,ACSY,0,2,org_U1BpdnTYhQPlMAH3OQbo
ACSYS Inc,ACSYS Inc.,org_7tLzz25ubwEH4BRtx1kv,ACSY,0,1,org_7tLzz25ubwEH4BRtx1kv
ACSYS Inc,"Acsys IP Holding, Inc.",org_LatVhaGbLw7gjpv526cM,ACSY,0,7,org_LatVhaGbLw7gjpv526cM
ACSYS Inc,ACSYS Lasertechnik GmbH,org_R4mI855lhP8yoyxFdWOt,ACSY,0,1,org_R4mI855lhP8yoyxFdWOt
Actel,Actel Corporation,org_f8SNTO17KxoIRyZau71v,ACTL,0,467,org_f8SNTO17KxoIRyZau71v
Action Performance Companies,Action Performance Companies,org_QGcpvXTMqdwxP2Zp2rVA,ACTN,1,3,org_QGcpvXTMqdwxP2Zp2rVA
Actions Semiconductor,"Actions Semiconductor Co., Ltd.",org_yCvBFjR5I2OIVCH1UHZZ,ACTS,1,10,org_yCvBFjR5I2OIVCH1UHZZ
Active Power Inc,"Active Power, Inc.",org_noC4Y0BQjaWYh0g9mThW,ACPW,1,44,org_noC4Y0BQjaWYh0g9mThW
Active Voice,Active Voice Corporation,org_bZ5BALPT514u68YiuvMU,ACVC,1,10,org_bZ5BALPT514u68YiuvMU
"ACTIVISION, INC.","Activision, Inc.",org_ZEfcc2iAS0McYxkvHjCa,AVSN,0,1,org_ZEfcc2iAS0McYxkvHjCa
