firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
ANDOVER CONTROLS,19831115,ANDO,3427010,14315,3517000,0,1976,0
ANDREW,19800619,ANDW,3442510,14323,4777000,0,1947,0
Andrx,19960614,ADRX,34551101,83615,15130674,0,1992,0
Anergen,19911010,ANRG,34602102,77020,5210705,0,1988,0
Anesta,19940125,NSTA,34603100,80145,7078857,0,1985,0
AngioDynamics Inc,20040526,ANGO,03475V101,90179,11150000,0,1988,0
ANGIOMEDICS INC.,19840809,AGMD,3475710,14374,4202000,0,1983,0
Animal Health International,20070130,AHII,03525N109,91730,24333033,0,1954,0
Animas Corp,20040519,PUMP,03525Y105,90190,19169253,0,1996,0
Anitec Image Technology,19850523,ANTC,35282102,85535,7200000,0,1981,0
ANSAN,19950808,ANSN,36338200,82156,2573164,0,1992,0
ANSYS,19960620,ANSS,03662Q105,83621,16619850,0,1994,0
Antec,19930916,ANTC,03664P105,79564,20100000,0,1969,0
Anthem Inc,20011030,ATH,03674B10,89179,101845000,0,1944,0
Anthera Pharmaceuticals Inc,20100301,ANTH,03674U10,93300,21587023,0,2004,0
Antigenics Inc,20000203,AGEN,37032109,87583,24216000,0,1994,0
APA Optics,19860806,APAT,1853100,10547,2709671,0,1979,0
Apex PC Solutions Inc,19970219,APEX,37945102,84510,12160016,0,1990,0
Aphton,19910321,APHT,03759P101,76880,10122592,0,1981,0
Apigee Corp,20150424,APIC,03765N108,15283,29100220,0,2004,0
Apogee,19940607,APGG,03759T103,80609,8654864,0,1991,0
Apogee Technology,19880715,APGG,03760F100,12118,1425000,0,1981,0
APOLLO COMPUTER,19830303,APCI,3790410,14614,19980000,0,1980,0
AppFolio Inc,20150626,APPF,03783C100,15410,26123910,1,2006,0
APPLE COMPUTER,19801212,AAPL,3783310,14593,54215332,0,1977,0
APPLICON,19800722,APPL,3814410,14673,2259000,0,1969,0
Applied Analytical Industries,19960919,AAII,37939105,83918,15882353,0,1979,0
Applied Biometrics,19930720,ABIO,03814L103,79365,2643965,0,1984,0
APPLIED BIOSYSTEMS,19830629,ABIO,3790610,14622,4621000,0,1980,0
APPLIED COMMUNICATIONS,19830707,ACIS,3790810,14649,3892000,0,1975,0
Applied Computer Technology,19951025,ACTI,38153102,82466,2890000,0,1989,0
APPLIED DATA,19831118,ADCC,3791010,14665,2985000,0,1972,0
Applied Digital Access,19940329,ADAX,38181103,80302,10540901,0,1987,0
Applied Extrusion Technologies,19910606,AETC,38196101,76691,5572125,0,1986,0
Applied Films Corp,19971121,AFCO,38197109,85521,3300000,0,1976,0
Applied Genetic Technologies,20140327,AGTC,03820J100,14528,13395787,0,1999,0
Applied Graphics Technologies,19960416,AGTX,37937109,83349,13807917,0,1995,0
Applied Imaging,19961107,AICX,03820G106,84186,6756757,0,1987,0
Applied Immune Sciences,19910502,AISX,03820F108,76652,7096774,0,1982,0
